profits_percent_change,market_value
-36.30%,-
-,$727.50
11.50%,"$5,400.10 "
595.30%,"$1,897.80 "
-,"$3,056.10 "
752%,"$1,296.10 "
336.30%,"$6,415.40 "
19%,"$14,591.60 "
84.50%,"$6,252.30 "
-,"$16,949.30 "
-,"$1,445.20 "
-221.10%,"$1,308.30 "
53.20%,"$2,697.90 "
-224.10%,"$7,489.80 "
-,"$1,457.60 "
-3.30%,"$5,326.80 "
-,-
-23%,"$2,385.60 "
33.80%,"$29,798.80 "
-,"$1,586.90 "
-,"$23,881.60 "
-,$995.20
-,"$5,415.50 "
26.40%,-
14.20%,"$4,958.30 "
-,"$4,746.50 "
-164.20%,"$1,493.90 "
61.50%,-
7.70%,"$12,691.20 "
-86.90%,"$1,339.50 "
611.80%,"$2,250.30 "
-,"$1,305.50 "
235%,"$7,965.80 "
-,"$16,196.90 "
-,"$4,937.40 "
13.70%,"$3,517.60 "
-,"$1,351.50 "
-85.70%,"$15,441.90 "
38.50%,"$7,457.80 "
48.30%,"$1,127.80 "
-,"$12,733.40 "
32.70%,"$5,771 "
44.70%,"$1,594.50 "
-,"$2,325.30 "
-,"$2,757.90 "
37.20%,-
-,"$2,146.60 "
-,"$2,617.70 "
45.90%,"$33,802.50 "
-68.70%,"$49,824.50 "
34.50%,"$17,260.70 "
-,$868.70
75.60%,"$9,694.70 "
-73.30%,$463.20
-,"$1,836.10 "
-78%,"$2,093.20 "
179.80%,"$5,606.80 "
10.30%,"$3,687.80 "
31.80%,"$5,129.70 "
-,"$2,492.50 "
47.80%,"$3,810.60 "
168.60%,"$5,434.80 "
57.40%,"$4,940 "
-,$843.40
-,"$5,891.30 "
-25.90%,"$32,188.60 "
82.10%,"$13,157.10 "
-29.40%,"$3,346.70 "
-177495.80%,-
8.70%,"$2,215.60 "
130.40%,$828.80
-,"$6,247.90 "
-,$149
41.30%,"$15,787.70 "
132%,"$4,676.20 "
-,$427.80
73.80%,"$18,416.90 "
885.80%,"$37,168.70 "
-,"$6,275.30 "
38.70%,"$17,830.90 "
21.30%,"$34,710.30 "
83.10%,"$6,438.40 "
-54.40%,"$1,718.30 "
18.80%,"$3,878 "
188.80%,"$20,372.80 "
-,"$2,447.50 "
-31.50%,$809.80
-,"$3,630.40 "
154.50%,$881.40
13200%,"$2,187.30 "
-69.40%,"$1,506.20 "
-,"$4,345.90 "
-13.20%,"$7,882.40 "
-,"$1,630.90 "
206.70%,"$3,713.60 "
-,"$2,007.90 "
-,"$4,919.10 "
3.70%,"$5,229.60 "
13.90%,"$5,603.90 "
-,"$2,400.30 "
-,"$2,126.20 "
4.40%,"$3,169.40 "
10.50%,"$1,123.70 "
42.70%,"$1,568.70 "
-,"$10,238 "
-,$995.60
-,$402.60
-,"$7,554 "
-,"$8,873.50 "
-39.20%,"$4,405.40 "
86.30%,"$2,914 "
-,$969.70
133.60%,$478.80
-15.90%,"$7,592.50 "
-,"$1,435.40 "
9.80%,"$4,925.60 "
-138.40%,"$1,705.10 "
101.10%,$830
36.60%,$744.10
-,"$5,601.90 "
-,"$21,302.80 "
